LNGI;LATI;PRID;Horizon;Nom_horizon;epais_hor;transition_distin;Munshell_col_hud;sable_gros;sable_moy;sable_fin;sable_tr_fin;sable_total;Limon;Argile;classe_TT;PH;PHKC;SO4;EXCA;EXMG;EXNA;EXCK;EXAL;CECS;total_carbone;total_azote;Phosphore
-16,28252792;15,5144701;SN008C/A004;1;Ap;5;NA;10YR4/3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,800000072;0,230000004;3
-16,28252792;15,5144701;SN008C/A004;2;A1;20;NA;10YR3/2;25;NA;57;NA;83;10;7;LS;7,900000095;NA;NA;4,090000153;0,810000002;0,01;0,270000011;NA;4,940000057;2,799999952;0,25;1
-16,28252792;15,5144701;SN008C/A004;3;A2;25;NA;10YR3/2;NA;NA;NA;NA;NA;NA;NA;NA;7,699999809;NA;NA;6,980000019;0,589999974;0,01;0,079999998;NA;6,389999866;3,099999905;0,230000004;1
-16,28252792;15,5144701;SN008C/A004;4;B1;54;NA;10YR3/1;30;NA;52;NA;82;8;11;LS;7,800000191;NA;NA;14,96000004;0,610000014;0,07;0,059999999;NA;9,159999847;3,199999809;0,280000001;3
-16,28252792;15,5144701;SN008C/A004;5;B2;80;NA;10YR3/1;30;NA;52;NA;82;7;12;LS;8,5;NA;NA;19,51000023;0,610000014;0,100000001;0,050000001;NA;10,14000034;NA;NA;NA
-16,28252792;15,5144701;SN008C/A004;6;C;135;NA;10YR6/2;NA;NA;NA;NA;NA;NA;NA;NA;8,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,27855492;15,5574398;SN008C/A013;1;Ap;6;NA;10YR4/3;NA;NA;NA;NA;NA;NA;NA;NA;7,300000191;6,199999809;NA;NA;NA;NA;NA;NA;NA;2;3,400000095;6
-16,27855492;15,5574398;SN008C/A013;2;A1;28;NA;10YR4/2;34;NA;54;NA;88;5;6;S;6,300000191;4,900000095;NA;1,580000043;0,579999983;0,02;0,039999999;NA;2,5;1,800000072;0,140000001;1
-16,27855492;15,5574398;SN008C/A013;3;AB;44;NA;10YR4/2;NA;NA;NA;NA;NA;NA;NA;NA;5,800000191;4,099999905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,27855492;15,5574398;SN008C/A013;4;B1;55;NA;10YR3/3;NA;NA;NA;NA;NA;NA;NA;NA;6;4,699999809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,27855492;15,5574398;SN008C/A013;5;B2;116;NA;10YR3/2;NA;NA;35;54;89;5;8;S;5,900000095;4,800000191;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,27855492;15,5574398;SN008C/A013;6;C;125;NA;10YR4/2;NA;NA;NA;NA;NA;NA;NA;NA;6,099999905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,32261086;15,46761036;SN008C/B007;1;Ap;4;NA;10YR4/3;NA;NA;NA;NA;NA;NA;NA;NA;8,600000381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,32261086;15,46761036;SN008C/B007;2;A1;17;NA;10YR3/3;28;NA;58;NA;86;7;7;LS;8,300000191;NA;NA;16,07999992;0,579999983;0,029999999;0,090000004;NA;6,289999962;3,099999905;0,349999994;NA
-16,32261086;15,46761036;SN008C/B007;3;A2;54;NA;10YR3/2;29;NA;55;NA;84;8;10;LS;8,899999619;NA;NA;19,31999969;0,600000024;0,02;0,07;NA;7,630000114;3,799999952;0,370000005;NA
-16,32261086;15,46761036;SN008C/B007;4;Bk;110;NA;10YR5/3;22;NA;49;NA;71;9;18;SL;8,699999809;NA;NA;22,25;0,639999986;0,02;0,029999999;NA;5,949999809;NA;NA;NA
-16,32261086;15,46761036;SN008C/B007;5;BC;128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,199999809;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,32261086;15,46761036;SN008C/B007;6;Ck;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
-16,35280609;15,38475037;SN008C/B012;1;NA;6;A;7,5YR4/6;NA;NA;NA;NA;NA;NA;NA;NA;8;6,300000191;NA;NA;NA;NA;NA;NA;NA;1,5;0,129999995;8
-16,35280609;15,38475037;SN008C/B012;2;NA;40;G;7,5YR5/4;33;NA;60;NA;93;3;4;S;5,099999905;4,199999809;NA;0,230000004;0,07;0,01;0,029999999;NA;1,399999976;1,199999928;0,129999995;4
-16,35280609;15,38475037;SN008C/B012;3;NA;70;D;7,5YR4/8;32;NA;62;NA;94;2;4;S;4,900000095;4,199999809;NA;0,079999998;0,02;0,01;0,02;NA;1,370000005;NA;NA;NA
